iter	Passed	Remaining
0	0	809
1	1	783
2	2	729
3	2	721
4	3	737
5	4	714
6	5	718
7	5	712
8	6	705
9	7	708
10	7	705
11	8	697
12	9	701
13	9	701
14	10	698
15	11	695
16	11	691
17	12	690
18	13	686
19	14	697
20	14	697
21	15	695
22	16	693
23	16	691
24	17	687
25	18	684
26	19	685
27	19	684
28	20	680
29	20	676
30	21	677
31	22	676
32	23	678
33	23	680
34	24	680
35	25	676
36	25	675
37	26	675
38	27	674
39	28	673
40	28	671
41	29	669
42	29	666
43	30	665
44	31	665
45	32	668
46	32	668
47	33	669
48	34	668
49	35	669
50	35	667
51	36	668
52	37	669
53	38	667
54	38	666
55	39	666
56	40	667
57	41	666
58	41	666
59	42	666
60	43	667
61	44	667
62	44	665
63	45	663
64	46	663
65	46	663
66	47	663
67	48	662
68	48	660
69	49	658
70	50	658
71	50	656
72	51	657
73	52	657
74	53	659
75	54	660
76	55	660
77	55	659
78	56	658
79	57	656
80	57	655
81	58	654
82	59	653
83	59	651
84	60	651
85	61	650
86	61	650
87	62	649
88	63	649
89	64	648
90	64	647
91	65	646
92	66	646
93	66	645
94	67	645
95	68	644
96	69	643
97	69	642
98	70	640
99	71	640
100	71	640
101	72	639
102	73	639
103	74	639
104	74	638
105	75	637
106	76	636
107	76	635
108	77	633
109	78	633
110	78	632
111	79	632
112	80	632
113	81	630
114	81	629
115	82	629
116	83	629
117	84	628
118	84	628
119	85	629
120	86	628
121	87	628
122	88	628
123	88	628
124	89	628
125	90	628
126	91	628
127	92	627
128	92	626
129	93	626
130	94	625
131	95	624
132	95	624
133	96	623
134	97	621
135	97	620
136	98	619
137	99	619
138	99	618
139	100	617
140	101	618
141	102	617
142	103	617
143	103	617
144	104	617
145	105	617
146	106	616
147	106	615
148	107	614
149	108	612
150	108	612
151	109	612
152	110	611
153	111	610
154	111	609
155	112	608
156	113	609
157	114	608
158	114	607
159	115	607
160	116	606
161	117	606
162	118	606
163	118	605
164	119	604
165	120	603
166	120	602
167	121	601
168	122	601
169	123	600
170	123	599
171	124	598
172	125	598
173	125	596
174	126	595
175	127	595
176	127	594
177	128	593
178	129	592
179	130	592
180	130	591
181	131	590
182	132	589
183	133	589
184	133	588
185	134	589
186	135	588
187	136	588
188	137	588
189	137	587
190	138	586
191	139	586
192	139	585
193	140	584
194	141	583
195	141	582
196	142	581
197	143	580
198	143	579
199	144	578
200	145	578
201	146	577
202	146	576
203	147	576
204	148	575
205	149	575
206	150	574
207	150	574
208	151	573
209	152	572
210	152	571
211	153	571
212	154	570
213	155	569
214	155	568
215	156	568
216	157	567
217	158	567
218	158	566
219	159	566
220	160	565
221	161	565
222	162	564
223	162	563
224	163	563
225	164	562
226	165	562
227	165	561
228	166	560
229	167	560
230	168	559
231	168	558
232	169	557
233	170	556
234	170	556
235	171	555
236	172	554
237	172	553
238	173	552
239	174	551
240	175	551
241	175	550
242	176	550
243	177	549
244	178	548
245	178	548
246	179	547
247	180	546
248	181	546
249	181	545
250	182	544
251	183	543
252	183	542
253	184	541
254	185	541
255	185	540
256	186	539
257	187	538
258	187	537
259	188	536
260	189	536
261	190	535
262	190	534
263	191	534
264	192	533
265	193	532
266	193	531
267	194	531
268	195	530
269	196	529
270	196	529
271	197	528
272	198	527
273	198	526
274	199	525
275	200	524
276	200	523
277	201	522
278	201	521
279	202	520
280	202	519
281	203	518
282	204	517
283	204	516
284	205	515
285	206	514
286	206	513
287	207	513
288	208	512
289	208	511
290	209	510
291	210	509
292	210	508
293	211	507
294	212	506
295	212	506
296	213	505
297	214	504
298	214	503
299	215	503
300	216	502
301	217	501
302	217	501
303	218	500
304	219	499
305	219	498
306	220	498
307	221	497
308	222	496
309	222	496
310	223	495
311	224	494
312	224	493
313	225	492
314	226	492
315	227	492
316	228	491
317	228	491
318	229	490
319	230	489
320	231	488
321	231	488
322	232	487
323	233	486
324	233	485
325	234	485
326	235	484
327	236	483
328	236	482
329	237	482
330	238	481
331	238	480
332	239	480
333	240	479
334	241	479
335	242	478
336	242	477
337	243	476
338	244	476
339	244	475
340	245	474
341	246	473
342	246	472
343	247	472
344	248	471
345	248	470
346	249	469
347	250	469
348	251	468
349	251	467
350	252	466
351	253	466
352	253	465
353	254	464
